season,basin,storm,type,satellite,resolution,image
tc98,IO,07B.NONAME,ssmi,pct,none,19981121.1407.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981121.2326.f13.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981122.0121.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981122.0252.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981122.1224.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981123.0108.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981123.0239.f14.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,pct,none,19981123.1210.f11.pct.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,85hw,none,1919981121.1237.f11.weak.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981120.0317.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981120.1054.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981120.1251.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981120.1420.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981120.2338.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981121.0135.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981121.0304.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981121.1237.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981121.1407.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981121.2326.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981122.0121.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981122.0252.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981122.1224.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981123.0108.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981123.0239.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsvis,none,19981123.1210.ssmi.vis.x.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,1919981121.1407.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,1919981121.2326.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,1919981122.0121.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,1919981122.0252.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,1919981122.1224.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,1919981123.0108.ssmi.ir.bd.NONAME.x.jpg
tc98,IO,07B.NONAME,ssmi,gmsir2,none,1919981123.0239.ssmi.ir.bd.NONAME.x.jpg
