Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2023-10-03,EZY,8101,LGW,IBZ,N,570,1,,false,,2023-10-03T19:30,2023-10-03T19:34,2023-10-03T19:40,2023-10-03T19:54,2023-10-03T22:46,2023-10-03T22:57,2023-10-03T23:00,2023-10-03T23:02,Airbus A320neo,GUZLA,,,,,,,c5fa65ee-37c4-4149-a64f-883cbd2132c4,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,f0a9abc1-65e8-4666-9c4f-e7c1849cae93,9217a22a-cd1f-42f9-a51e-5fe340dd39c1,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2023-10-08,EZY,4206,IBZ,NAP,,,,,false,,2023-10-08T16:50,2023-10-08T16:41,2023-10-08T17:00,2023-10-08T16:46,2023-10-08T18:31,2023-10-08T18:25,2023-10-08T18:45,2023-10-08T18:28,Airbus A319,OELQI,,,,,,,682bcc1d-e303-4b3b-b3cf-cfc77f65d4e5,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,9217a22a-cd1f-42f9-a51e-5fe340dd39c1,bf1b680d-e40a-479e-b446-69e8f5efe76b,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2023-10-12,EZY,4165,NAP,ATH,,,,,false,,2023-10-12T10:25,2023-10-12T10:35,2023-10-12T10:35,2023-10-12T11:00,2023-10-12T12:50,2023-10-12T13:27,2023-10-12T13:05,2023-10-12T13:32,Airbus A320,OEIJW,,,,,,,da32631c-469b-4ac3-a200-3baf380b1a2b,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,bf1b680d-e40a-479e-b446-69e8f5efe76b,cf45cd09-2351-45e6-bee2-e05eb99b1673,,dd390a1f-e92a-4411-ab72-04db16d42030
2023-10-20,AEE,994,ATH,IST,,A19,,E3,false,,2023-10-20T18:30,2023-10-20T18:38:56,2023-10-20T18:40,2023-10-20T18:50:03,2023-10-20T19:50,2023-10-20T20:00,2023-10-20T20:00,,Airbus A320,SXDGD,,,,,,,7392b071-9ad5-482d-9228-d0f70294c760,db42bdaa-aa16-41f2-8813-078287e6232d,cf45cd09-2351-45e6-bee2-e05eb99b1673,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2023-10-25,QTR,818,DOH,HKG,,C41,1,,false,,2023-10-25T01:50,2023-10-25T01:58,2023-10-25T02:00,2023-10-25T02:12,2023-10-25T15:03,2023-10-25T14:08,2023-10-25T15:05,2023-10-25T14:26,Boeing 777-300 ER,A7BOC,,,,,,,a6dcf35c-23e3-4d34-96b7-07385734298e,bbe2cc40-79ca-446a-8105-cbb932b064f0,570ae63e-c342-4fdb-b344-554184c13f1b,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2023-10-25,QTR,246,IST,DOH,I,B5,,,false,,2023-10-25T20:05,2023-10-25T20:05,2023-10-25T20:15,2023-10-25T20:32,2023-10-26T00:05,2023-10-26T00:03,2023-10-26T00:15,2023-10-26T00:09,Boeing 777-300 ER,A7BOD,,,,,,,b95a22c7-0abe-46fd-a842-a0c2dcf7b426,bbe2cc40-79ca-446a-8105-cbb932b064f0,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,570ae63e-c342-4fdb-b344-554184c13f1b,,78eac566-1ad0-4ded-9979-9510dfde05f2
2023-10-28,EVA,868,HKG,TPE,1,34,2,C7,false,,2023-10-28T13:40,2023-10-28T14:03,2023-10-28T13:50,2023-10-28T14:22,2023-10-28T15:15,2023-10-28T15:36,2023-10-28T15:25,2023-10-28T15:46,Boeing 787-9,B17882,,,,,,,49b9ecef-f372-4203-992f-6fc3d1b75953,d03c3f87-0c57-417d-b5b3-e9ac6342545b,7da61aa8-3d56-411b-8be5-50a198e86c60,1a0ff314-4db9-43eb-aef0-59d40b78505b,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2023-11-05,EVA,186,TPE,OKA,2,C5R,I,,false,,2023-11-05T16:50,2023-11-05T16:50,2023-11-05T17:00,2023-11-05T17:09,2023-11-05T18:51,2023-11-05T19:15,2023-11-05T19:10,2023-11-05T19:30,Airbus A321,B16213,,,,,,,cfd05bfa-1653-4a20-aa38-66b960013a8f,d03c3f87-0c57-417d-b5b3-e9ac6342545b,1a0ff314-4db9-43eb-aef0-59d40b78505b,d4ed967f-b773-49bb-a56d-c61a323783f2,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2023-11-08,JJP,304,OKA,NRT,D,21,3,,false,,2023-11-08T13:00,2023-11-08T13:07,2023-11-08T13:10,2023-11-08T13:19,2023-11-08T15:15,2023-11-08T15:20,2023-11-08T15:25,,Airbus A321neo,JA28LR,,,,,,,63d1f7eb-5b9c-459d-862d-32b5db28c381,4e7ef0ad-8f9e-4e77-bc0b-50ac7a83b112,d4ed967f-b773-49bb-a56d-c61a323783f2,42cbe764-fc30-49b0-9e72-eca5f6c21767,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2023-11-20,KAL,704,NRT,ICN,1,26,2,233,false,,2023-11-20T14:00,2023-11-20T13:53,2023-11-20T14:10,2023-11-20T14:12,2023-11-20T16:44,2023-11-20T16:17,2023-11-20T16:50,2023-11-20T16:25,Boeing 747-8,HL7632,,,,,,,0164215f-b613-49e9-a6a1-a6f9a4637188,4bcd41e4-4c1d-4f70-8e68-51edb812ab3c,42cbe764-fc30-49b0-9e72-eca5f6c21767,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,c1ae12ad-df82-4d84-9413-6ae1ff8ab769
2023-11-24,AAR,272,ICN,SEA,1,12,Main,S15,false,,2023-11-24T18:15,2023-11-24T18:23,2023-11-24T18:25,2023-11-24T18:47,2023-11-24T10:25,2023-11-24T10:54,2023-11-24T11:00,2023-11-24T10:59,Airbus A350-900,HL8308,,,,,,,97c3970a-065d-4ee0-a28a-17e3567877b2,3c484b30-2d33-4171-9aa8-5496efac3560,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,b3f217fd-4bc7-4806-9efe-abe9446a74df,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2023-12-24,ASA,2,SEA,DCA,Main,D4,2,B18,false,,2023-12-24T14:00,2023-12-24T13:57,2023-12-24T14:10,2023-12-24T14:11,2023-12-24T21:50,2023-12-24T21:47,2023-12-24T21:56,2023-12-24T21:51,Boeing 737-800,N536AS,,,,,,,cba72209-8fec-47d4-ad6e-4da00b401b87,45411282-5411-46ac-89ce-720ab9efe700,b3f217fd-4bc7-4806-9efe-abe9446a74df,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-01-03,ASA,351,IAD,SEA,Main,B65,Main,N17,false,,2024-01-03T19:01,2024-01-03T19:10,2024-01-03T19:11,2024-01-03T19:33,2024-01-03T21:22,2024-01-03T21:43,2024-01-03T22:00,2024-01-03T21:51,Boeing 737-800,N587AS,,,,,,,dc0e27bc-fe29-4e02-a10f-5a13a63a2c09,45411282-5411-46ac-89ce-720ab9efe700,519696f5-bda6-457c-ae4c-dd1cb07e20de,b3f217fd-4bc7-4806-9efe-abe9446a74df,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-02-09,DAL,674,SEA,ATL,Main,A10,S,B2,false,,2024-02-09T11:55,2024-02-09T11:51,2024-02-09T12:05,2024-02-09T12:05,2024-02-09T19:11,2024-02-09T19:08,2024-02-09T19:45,2024-02-09T19:13,Boeing 737-900ER,N875DN,,,,,,,880a8bea-4fc8-429a-a3e9-767279f512fe,a8765091-d043-44b1-936c-d217bb519e56,b3f217fd-4bc7-4806-9efe-abe9446a74df,6f0c1d11-cfef-4b33-b462-90379270f593,,24012541-435d-4a27-af8a-4791336f1965
